trade_id,side,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,fees,financing,net_pnl,return_pct,r_multiple,bars_held,exit_reason
1,1,2026-03-22 17:00:00+00:00,2026-03-22 19:00:00+00:00,68830.50873095813,68594.36334199284,0.13168023451907837,-31.09568019954853,18.096139383320526,0.0,-49.19181958286906,-0.005427393577729293,-0.4919181958286905,3,signal
2,1,2026-03-22 20:00:00+00:00,2026-03-22 21:00:00+00:00,68223.53482655736,67447.30707304039,0.13229479881272066,-102.69089448437774,17.948546733859715,0.0,-120.63944121823745,-0.013366334619495468,-1.2123582228793433,2,stop_loss
3,1,2026-03-22 22:00:00+00:00,2026-03-23 00:00:00+00:00,67922.16024123397,67835.15348782139,0.11871276970996004,-10.328812681079443,16.116126721160143,0.0,-26.444939402239584,-0.003279696440019955,-0.2690181634094178,3,signal
4,1,2026-03-23 01:00:00+00:00,2026-03-23 05:00:00+00:00,67692.96086470335,68516.8286253526,0.10308091023189768,84.92503867844057,14.040629083130138,0.0,70.88440959531043,0.010158485644225395,0.7230355632497594,5,signal
5,1,2026-03-23 10:00:00+00:00,2026-03-23 11:00:00+00:00,68358.74140158802,68526.80271195943,0.08903702542017806,14.963679163687946,12.187881670892832,0.0,2.775797492795115,0.0004560611506100876,0.028110456981523497,2,signal
6,1,2026-03-23 12:00:00+00:00,2026-03-23 13:00:00+00:00,70144.30694547329,70728.66045817774,0.06891025001464132,40.267946657397204,9.70759140409001,0.0,30.560355253307193,0.006322402552861974,0.30939725773550925,2,signal
7,1,2026-03-23 14:00:00+00:00,2026-03-23 15:00:00+00:00,71504.93179916123,71422.65134637979,0.06446474843025883,-5.30418868928359,9.213790691222204,0.0,-14.517979380505796,-0.0031495454965195417,-0.14652867284948018,2,signal
8,1,2026-03-23 17:00:00+00:00,2026-03-23 19:00:00+00:00,70585.40700115112,71050.99657896951,0.0614145762129071,28.59398661086283,8.698539702193386,0.0,19.895446908669445,0.004589520525580982,0.20109763937136677,3,signal
9,1,2026-03-23 20:00:00+00:00,2026-03-24 00:00:00+00:00,70704.1412070758,70880.74828821253,0.06565479154930075,11.595101098163044,9.295726406343936,0.0,2.299374691819107,0.0004953343756609519,0.02319479515875382,5,signal
10,1,2026-03-24 02:00:00+00:00,2026-03-24 05:00:00+00:00,70541.0735765679,70347.59019307487,0.07503923112350439,-14.518844332491284,10.572177003291921,0.0,-25.091021335783203,-0.004740104315250252,-0.25304537979683384,4,signal
11,1,2026-03-24 08:00:00+00:00,2026-03-24 09:00:00+00:00,71315.12691664988,70939.75888502412,0.08533115814247579,-32.03058886828816,12.138774156882478,0.0,-44.16936302517065,-0.00725824856250227,-0.4465823591640236,2,signal
12,1,2026-03-24 10:00:00+00:00,2026-03-24 11:00:00+00:00,71342.07761781511,71248.40729939466,0.08641447134637638,-8.094471047150147,12.321881373144137,0.0,-20.416352420294285,-0.0033116613817070093,-0.20734922062606587,2,signal
13,1,2026-03-24 17:00:00+00:00,2026-03-24 19:00:00+00:00,69500.56726594381,69406.43818255232,0.08383674200103204,-7.891475679086586,11.645510777921523,0.0,-19.53698645700811,-0.0033530098818946494,-0.19883062153949027,3,signal
14,1,2026-03-24 20:00:00+00:00,2026-03-25 00:00:00+00:00,69401.72846003769,70532.43647571836,0.0854147544375279,96.57914749990947,11.95244233540813,0.0,84.62670516450133,0.014275924717284524,0.8629735744454077,5,signal
15,1,2026-03-25 01:00:00+00:00,2026-03-25 07:00:00+00:00,70865.04468848776,70968.17180857169,0.08421964118802525,8.685329050222602,11.94514260192585,0.0,-3.259813551703248,-0.0005461944825305645,-0.032957256949162794,7,signal
16,1,2026-03-25 08:00:00+00:00,2026-03-25 09:00:00+00:00,70951.73385301973,71224.66578600717,0.10152343786881962,27.708988141067362,14.434236875165217,0.0,13.274751265902147,0.0018428800291093895,0.13425418871318287,2,signal
17,1,2026-03-25 10:00:00+00:00,2026-03-25 11:00:00+00:00,71370.49371683567,71476.48968177538,0.1012493673227877,10.732024388913622,14.463166693078126,0.0,-3.7311423041645044,-0.0005163340834534845,-0.03768431261613315,2,signal
18,1,2026-03-25 12:00:00+00:00,2026-03-25 13:00:00+00:00,71702.85953220693,71691.18676211125,0.10213869324525877,-1.1922414841254487,14.6460805076518,0.0,-15.83832199177725,-0.0021626308546362784,-0.1600264033253368,2,signal
19,1,2026-03-25 17:00:00+00:00,2026-03-25 19:00:00+00:00,71347.72648880864,70785.50019631813,0.08837108588032189,-49.68454797785366,12.560467581838596,0.0,-62.24501555969226,-0.009872206920091817,-0.6299159407627212,3,signal
20,1,2026-03-25 20:00:00+00:00,2026-03-26 00:00:00+00:00,70908.18731032466,71311.23631050915,0.09051165862010382,36.48063351187256,12.87251591991684,0.0,23.608117591955722,0.003678412697565547,0.24042726798506528,5,signal
21,1,2026-03-26 01:00:00+00:00,2026-03-26 05:00:00+00:00,71323.98042231386,70747.3653249088,0.10012880649084084,-57.73578150776948,14.225434286217002,0.0,-71.96121579398648,-0.010076364763953204,-0.731101954343353,5,signal
22,1,2026-03-26 08:00:00+00:00,2026-03-26 09:00:00+00:00,70111.26592419513,70000.53521690519,0.10676138330397279,-11.82176348450152,14.958529707035025,0.0,-26.780293191536543,-0.0035777774816140866,-0.27408267171821393,2,signal
23,1,2026-03-26 10:00:00+00:00,2026-03-26 11:00:00+00:00,69585.36307414125,69494.0510753974,0.1040234563781037,-9.498589718128853,14.467521370876753,0.0,-23.966111089005604,-0.003310917737799514,-0.24595507032773892,2,signal
24,1,2026-03-26 14:00:00+00:00,2026-03-26 15:00:00+00:00,69669.49837063233,69456.59913101434,0.10687763097177931,-22.754166366063092,14.86946770732478,0.0,-37.623634073387876,-0.005052789891595047,-0.38706904302321693,2,signal
25,1,2026-03-26 17:00:00+00:00,2026-03-26 19:00:00+00:00,68955.68304179108,68474.5890758745,0.10087915504274868,-48.53235277783041,13.863849728525127,0.0,-62.396202506355536,-0.008969880519628722,-0.6444216715618043,3,signal
26,1,2026-03-26 20:00:00+00:00,2026-03-27 00:00:00+00:00,68558.20631874137,68795.72797910556,0.09907722713151974,23.532987492558473,13.60864694583562,0.0,9.92434054672285,0.0014610610668639977,0.10316238664500874,5,signal
27,1,2026-03-27 01:00:00+00:00,2026-03-27 03:00:00+00:00,68808.6840361707,68880.52002509359,0.09829897605182836,7.061404154790438,13.534707772613526,0.0,-6.473303617823089,-0.0009570480246905835,-0.06721990621048417,3,signal
28,1,2026-03-27 04:00:00+00:00,2026-03-27 05:00:00+00:00,68791.2069095045,68554.86319694003,0.10598064037096351,-25.047858005233515,14.556024462316241,0.0,-39.60388246754975,-0.005432231813616928,-0.41153020678693936,2,signal
29,1,2026-03-27 08:00:00+00:00,2026-03-27 08:00:00+00:00,68562.85500591941,67649.914160397,0.1075811094659585,-98.21518903809044,14.653920830342823,0.0,-112.86910986843327,-0.01530207011651048,-1.1776873119537274,1,stop_loss
30,1,2026-03-27 12:00:00+00:00,2026-03-27 13:00:00+00:00,66724.76753734621,66597.22484958256,0.08524344745661193,-10.872178402855688,11.36482625284598,0.0,-22.237004655701668,-0.003909562967073217,-0.234788147837951,2,signal
31,1,2026-03-27 17:00:00+00:00,2026-03-27 19:00:00+00:00,66001.39788131774,65814.27045191369,0.0849426033716951,-15.895091015832975,11.196766033404586,0.0,-27.09185704923756,-0.004832368828169314,-0.2867210174437957,3,signal
